time,load_Nord,load_West,load_Ost,load_Süd,wind_Nord,wind_West,wind_Ost,wind_Süd,pv_Nord,pv_West,pv_Ost,pv_Süd
2025-04-02 11:00:00,10641.872025,18918.8836,11824.30225,17736.453375,0.2150499317501806,0.7013534325410338,0.1262656683396745,0.4787247269214542,0.7345010777277948,0.7358910218663449,0.7146250434837432,0.6996456333302978
2025-04-02 12:00:00,10315.87677,18339.33648,11462.0853,17193.12795,0.2632004599503363,0.8021249750371363,0.170011090083453,0.5369156883056195,0.7555104088475221,0.7563101340130314,0.7160066352284731,0.6506700548621076
2025-04-02 13:00:00,10252.995299999999,18227.5472,11392.217,17088.3255,0.3191617714284447,0.8446691468291669,0.2023891431815354,0.5633554406711643,0.7226016431086014,0.650180793839846,0.6484327420984063,0.5810819806921724
2025-04-02 14:00:00,10215.82224,18161.461760000002,11350.9136,17026.3704,0.3604403902673297,0.8167203187959586,0.215371751131376,0.5430326464720266,0.6381412284774727,0.5289120867952214,0.5320465368979147,0.4902619798312875
2025-04-02 15:00:00,10443.55608,18566.321920000002,11603.951200000001,17405.9268,0.3892462303813965,0.7954471059018191,0.226338081360015,0.5489213807646595,0.5030738221232729,0.3824324098159366,0.383867073156433,0.3801938646986271
2025-04-02 16:00:00,10698.158655,19018.94872,11886.84295,17830.264424999998,0.4006782745484116,0.6821249230452637,0.1974067845527821,0.4918698340906806,0.3270220957135561,0.2394739598108661,0.2549188807697811,0.2751582276264064
2025-04-02 17:00:00,10786.052925,19175.2052,11984.503250000002,17976.754875,0.442131935743091,0.6406497867827817,0.2167238658877432,0.4592700969535589,0.1353544154077152,0.1222160802555859,0.092891476656024,0.1253837368214459
2025-04-02 18:00:00,10774.325475,19154.3564,11971.47275,17957.209124999998,0.500355360404407,0.649313705676538,0.264364849517227,0.457052538518711,0.0079135992457061,0.015944446206523,0.0015952729234428,0.0067221923678106
2025-04-02 19:00:00,10277.36865,18270.8776,11419.2985,17128.94775,0.5077381449329081,0.664812685076309,0.2852406551244421,0.4558017910567085,0.0,0.0,0.0,0.0
2025-04-02 20:00:00,9590.321429999998,17049.46032,10655.9127,15983.869049999998,0.4904084522282271,0.6713440136910408,0.2893977538552307,0.4437664243609533,0.0,0.0,0.0,0.0
2025-04-02 21:00:00,8959.78521,15928.507039999999,9955.3169,14932.975349999999,0.4537740829789456,0.6499913757465633,0.277084737545221,0.4318714357616231,0.0,0.0,0.0,0.0
2025-04-02 22:00:00,8298.220095,14752.39128,9220.244550000001,13830.366825,0.4486919853043171,0.6336861504768093,0.2381061739389561,0.4080304000731299,0.0,0.0,0.0,0.0
2025-04-02 23:00:00,8059.004865,14327.119760000001,8954.44985,13431.674775,0.3996841627576177,0.5869740834359228,0.2003808586881726,0.3748909134307874,0.0,0.0,0.0,0.0
2025-04-03 00:00:00,7832.934765,13925.21736,8703.26085,13054.891275,0.3613037123635144,0.5573929115786772,0.1660329755302761,0.328844425914341,0.0,0.0,0.0,0.0
2025-04-03 01:00:00,7785.1421550000005,13840.252720000002,8650.15795,12975.236925000001,0.3288560365277339,0.5376624179268586,0.132535120669621,0.2868999225781492,0.0,0.0,0.0,0.0
2025-04-03 02:00:00,8100.450629999999,14400.80112,9000.5007,13500.751049999999,0.2999111587811416,0.5134655721155171,0.1071033999865593,0.2548816068288591,0.0,0.0,0.0,0.0
2025-04-03 03:00:00,8807.10363,15657.07312,9785.6707,14678.506049999998,0.2710244833661072,0.4888332473318237,0.0940914979266185,0.2345888955150892,0.0,0.0,0.0,0.0
2025-04-03 04:00:00,10024.325280000001,17821.02272,11138.139200000001,16707.2088,0.245085337684574,0.4570424587233482,0.089584096129666,0.2129992551421498,0.0,0.0,0.0,0.0
